Date,RTB 03-10,RTB 03-11,RTB 05-12,RTB 05-13,RTB 05-14,RTB 05-15,RTB 05-16,RTB 10-04,RTB 10-05,RTB 15-01,RTB 15-02,RTB 20-01,RTB 25-01
7/3/2019,,,117.5620864,,,,,56.81845661,65.61540493,112.7390202,93.38981622,97.64131551,101.8789113
7/4/2019,,,117.3197471,,,,,56.47164777,64.04074315,111.1612457,92.65070239,98.13813454,102.0392539
7/5/2019,,,117.1511555,,,,,56.86402803,65.2136905,111.6384826,91.90519691,98.11135818,102.9216721
7/8/2019,,,114.6025716,,,,,55.98405256,62.36495718,113.7697578,89.26671598,95.5837262,103.085144
7/9/2019,,,113.3628846,,,,,56.18135558,62.23029938,114.3281355,89.12602423,95.14871555,103.5010929
7/10/2019,,,112.2280079,,,,,56.58364466,62.00512727,113.6021574,88.99798829,98.17530211,103.467129
7/11/2019,,,114.1096837,,,,,57.00612185,62.11581232,115.5529472,91.2625001,95.57422306,106.0145499
7/12/2019,,,113.0578238,,,,,57.09045762,61.9051839,116.1751358,90.39089522,95.32559459,105.7737077
7/15/2019,,,114.3235385,,,,,56.82143796,61.35788982,120.0254734,90.16570477,95.92494086,108.7246031
7/16/2019,,,115.1798685,,,,,57.31945582,61.73356568,121.2492878,91.77657709,96.39234835,109.7902755
7/17/2019,,,115.2404618,,,,,57.78080616,63.02673917,116.6694449,94.0265963,97.60781907,111.445428
7/18/2019,,,115.1291412,,,,,58.60607704,61.64364831,123.4493025,94.00623175,98.36834129,112.5104372
7/19/2019,,,115.4967291,,,,,58.81185375,62.16919169,124.2133368,93.99919677,97.05092702,113.4887827
7/22/2019,,,116.5256665,,,,,59.54831373,62.2827845,123.8007807,94.05928132,99.69817966,116.1772581
7/23/2019,,,118.1653532,,,,,60.84395831,62.15587519,123.216624,96.972955,101.6232212,118.0693753
7/24/2019,,,119.1730784,,,,,61.0319753,64.62238973,122.6428938,98.39145214,102.9306109,122.0484208
7/25/2019,,,120.7463276,,,,,62.92011962,64.51379558,126.968968,98.466092,105.2832322,122.0771258
7/26/2019,,,119.3611276,,,,,64.02288695,66.79241609,126.4289054,98.55457605,105.3885307,120.0543419
7/29/2019,,,118.8260994,,,,,64.47953188,63.69507594,125.8225968,97.0010783,104.9658776,117.6243467
7/30/2019,,,119.6296922,,,,,63.43032131,65.17649555,125.3274932,103.5592963,105.2044653,118.8604131
7/31/2019,,,120.6970685,,,,,64.91812769,65.17649555,125.3274932,103.5592963,106.2503541,118.3538656
8/1/2019,,,122.9196784,,,,,65.80757408,63.77401913,125.976978,101.7454392,107.161307,118.5655051
8/2/2019,,,127.2241468,,,,,65.69472244,69.09212142,129.6357633,101.9175541,108.1976213,119.9196451
8/5/2019,,,129.2006205,,,,,69.62891134,68.76201833,130.9334428,105.4642591,106.2359068,115.8560187
8/6/2019,,,129.2948688,,,,,69.40353316,68.37222646,130.5208442,105.6917155,109.0667902,118.5310114
8/7/2019,,,132.7427173,,,,,71.45292265,69.60033445,129.9891056,108.9915049,108.56902,117.3979233
8/8/2019,,,134.7693291,,,,,72.61307585,68.68948566,129.5986807,109.2445455,113.5697907,120.0679281
8/9/2019,,,140.2974039,,,,,77.86308674,68.82410621,129.219609,111.4842711,113.870706,120.1302955
8/13/2019,,,146.9231144,,,,,81.43354901,75.72711058,139.3989604,112.6919282,121.1066288,123.4285929
8/14/2019,,,141.9251873,,,,,81.76516456,74.16040316,139.095223,113.0313422,121.4814645,120.4488002
8/15/2019,,,144.1695678,,,,,79.24149364,73.96641463,138.8029266,120.4331348,117.4421995,117.1073164
8/16/2019,,,141.1719788,,,,,77.87204896,72.24576267,133.2746429,117.6842195,117.8604219,116.7933634
8/19/2019,,,141.1219307,,,,,77.01603829,73.31385915,125.3758325,118.8617719,114.0676719,114.4762893
8/20/2019,,,140.5231123,,,,,75.63004395,72.11190514,130.3546907,119.2850833,118.8945411,113.7954379
8/22/2019,,,142.5245504,,,,,73.85101327,72.52325626,129.9076379,120.1786519,117.9472469,112.7037567
8/23/2019,,,140.8938408,,,,,74.66764388,72.22160599,129.702871,120.6491644,117.2730255,111.8598193
8/27/2019,,,143.6549051,,,,,74.28996411,72.81642875,127.4456284,119.810054,122.2989555,110.5688217
8/28/2019,,,144.3796159,,,,,73.74881508,73.4187733,125.9575652,116.2975204,118.3990665,109.872842
8/29/2019,,,145.8844547,,,,,75.37248378,74.97382166,127.8578213,119.5670457,122.2825119,111.0337189
8/30/2019,,,144.8705037,,,,,73.91781052,73.08119683,127.7431786,122.9556073,124.1773536,109.6469288
9/2/2019,,,145.9327689,,,,,73.76937039,73.30215253,131.6289539,123.0847329,124.3347163,110.2593372
9/3/2019,,,144.7116973,,,,,71.49933998,73.64859432,126.7962833,120.1445317,122.3293739,109.0735603
9/4/2019,,,145.9816303,,,,,72.39042157,74.18329359,126.0572568,119.6770051,120.7311751,108.862653
9/5/2019,,,146.0007212,,,,,71.60691739,74.22488464,124.2460319,116.216062,119.7199112,109.0303391
9/6/2019,,,145.3767923,,,,,70.72947991,72.34184537,125.3044507,118.4454458,117.8086431,107.9685935
9/9/2019,,,145.1616331,,,,,70.82490219,72.85512596,120.1552387,117.1445676,117.7465244,106.1050573
9/10/2019,,,143.1822937,,,,,66.16861437,72.71678895,120.1796036,112.3513342,114.4537744,102.970449
9/11/2019,,,138.704712,,,,,66.37145373,66.83511931,111.0588014,102.7053378,109.2582217,99.53436817
9/12/2019,,,140.2665621,,,,,67.45811253,69.79426348,115.0666846,102.2770108,106.1792525,99.0996957
9/13/2019,,,144.6812035,,,,,68.70946494,73.63312324,115.0817869,112.0800429,108.357058,102.06044
9/16/2019,,,138.9852002,,,,,66.53452756,73.9236312,118.8100812,110.9488022,111.7345622,101.9382476
9/17/2019,,,139.8304163,,,,,66.60527719,74.38336868,120.1031066,112.6835606,111.323725,102.7712717
9/18/2019,,,140.3595762,,,,,65.42290602,73.24239319,120.2523335,108.986963,111.0726244,102.6842725
9/19/2019,,,139.8588983,,,,,66.85354317,73.65221952,120.4177864,108.6459864,110.6840844,102.9319645
9/20/2019,,,137.8599303,,,,,64.96339898,73.42605997,120.5996051,108.3148876,108.433099,100.4766726
9/23/2019,,,137.4739396,,,,,64.99804095,73.29840495,121.2446697,107.3817095,107.3578753,103.7711984
9/24/2019,,,137.601069,,,,,65.79539682,73.15105103,121.4933717,107.0909767,107.0225903,101.8233868
9/25/2019,,,139.3669443,,,,,64.95724907,72.57244139,119.944807,106.8105526,104.8666049,104.5749574
9/26/2019,,,138.7581028,,,,,66.42586244,72.11446517,118.2850561,103.1623715,103.3391798,102.3680178
9/27/2019,,,138.5165505,,,,,67.41386115,71.82113787,118.5905571,102.8976188,103.8887256,103.2166331
9/30/2019,,,139.8098438,,,,,66.41025197,72.27465483,119.6150848,102.168172,102.8027644,105.7419924
10/1/2019,,,139.8499787,,,,,67.96557922,71.75477905,122.9600842,101.9469425,105.5139775,107.261452
10/2/2019,,,139.1158115,,,,,66.80483319,71.75443233,123.3510473,104.4798463,105.4461794,106.1640413
10/3/2019,,,140.2410686,,,,,68.18687518,71.62721144,126.0578612,104.2843362,105.2213312,106.6022033
10/4/2019,,,140.882932,,,,,68.84102776,72.1040185,124.9445918,104.0999933,104.8388642,107.774972
10/7/2019,,,138.6833309,,,,,68.07268719,70.54543721,126.3357782,103.6149334,104.2790757,106.0793082
10/8/2019,,,136.695188,,,,,67.7438487,70.9939731,127.6066706,103.4762288,104.1186494,107.5946944
10/9/2019,,,136.1021919,,,,,68.43464065,70.77882954,128.1255846,103.3491805,103.9715052,108.0418498
10/10/2019,,,135.7253689,,,,,67.35627198,70.75117095,126.3577656,103.2338886,103.837763,113.5255229
10/11/2019,,,135.389504,,,,,67.2547589,70.43010618,127.521119,103.1304543,98.31813696,107.1225823
10/14/2019,,,134.4501071,,,,,68.19390541,69.86376623,128.7942382,102.8923221,100.7594385,108.5356772
10/15/2019,,,135.5969856,,,,,68.02106579,68.6219585,129.4394308,102.8373477,100.6929922,110.3324049
10/16/2019,,,136.5062701,,,,,68.17164029,69.64009357,133.0430212,102.7947501,102.8125,111.5129395
10/17/2019,,,137.0713899,,,,,69.53402502,70.13364678,133.718582,102.7646357,103.384713,113.8842524
10/18/2019,,,137.285322,,,,,69.60879258,73.62539767,134.4147421,100.1258569,102.245902,113.0617662
10/21/2019,,,136.1161063,,,,,70.01524157,69.1791775,135.2939799,100.1486168,102.9866436,116.0612179
10/22/2019,,,135.2094364,,,,,69.38929638,68.60076995,134.7283073,100.1824965,100.3093238,116.2802217
10/23/2019,,,136.0437905,,,,,70.35336797,68.30657773,134.1726319,100.2297143,102.7106631,116.1869682
10/24/2019,,,136.4457607,,,,,70.80481759,68.54546618,133.6270391,100.2903868,103.9812859,116.3961841
10/25/2019,,,137.8100283,,,,,70.81964502,68.09318282,133.5416342,104.4358818,104.0636078,120.0060668
10/28/2019,,,137.8779236,,,,,71.65158412,68.29838404,131.806682,104.9118132,104.4037002,116.3509295
10/29/2019,,,139.0521659,,,,,72.55954982,68.65242427,131.0533553,105.0392961,104.5253217,117.7061565
10/30/2019,,,139.1218398,,,,,72.93219436,69.1625377,130.570093,106.0868285,101.6577031,115.8694003
10/31/2019,,,139.4361766,,,,,72.04694222,68.46604378,130.570093,106.0868285,103.4152665,112.9251281
11/4/2019,,,140.0902956,,,,,73.04615093,68.10995955,128.7449734,106.7896759,106.6601361,115.7464258
11/5/2019,,,141.8915704,,,,,73.67661823,68.08271241,128.3161388,107.0009379,106.9018543,116.892075
11/6/2019,,,140.6732173,,,,,73.65407248,67.95277917,129.4461342,106.7347362,99.43413744,113.2454508
11/7/2019,,,141.5011566,,,,,75.09186654,68.56532224,129.0426736,106.9756421,99.72013094,112.7582172
11/8/2019,,,139.790082,,,,,75.08687196,66.9019546,125.5760802,104.7739744,106.1405494,111.0986057
11/11/2019,,,140.2121858,,,,,76.01144535,66.9428595,126.0737611,105.6419784,107.1727133,109.6503041
11/12/2019,,,138.8005405,,,,,75.67812711,68.13388004,125.3234167,105.9621583,106.9091449,108.0126709
11/13/2019,,,138.5855248,,,,,74.52187886,66.72283034,124.9861179,103.5351511,107.2935682,105.7826887
11/14/2019,,,139.6888535,,,,,76.80824524,65.3537136,129.7813495,105.7887886,110.6269529,110.0202958
11/15/2019,,,140.3232364,,,,,76.15030701,67.02710017,129.475854,105.5208757,111.0414428,106.6733505
11/18/2019,,,140.6339759,,,,,75.94148435,67.54002062,123.0159563,109.9610061,110.1126646,108.1808922
11/19/2019,,,141.6542861,,,,,76.17493888,65.8109304,122.7513755,110.3891517,110.7317073,109.3141761
11/20/2019,,,142.4620942,,,,,75.86155693,67.62270631,122.4994117,110.8337072,110.5048944,106.0983646
11/21/2019,,,143.0896009,,,,,75.69082005,68.24453112,122.2601728,111.2948127,114.4306842,106.456211
11/22/2019,,,142.6770349,,,,,76.84051337,68.36439775,121.260856,111.7726097,111.5947791,105.7063272
11/25/2019,,,143.4359584,,,,,74.19738794,68.83304166,120.6572029,113.3075807,113.947906,99.97213817
11/26/2019,,,143.5629972,,,,,74.42624818,69.31096734,120.4824806,112.1932197,115.2266638,105.1400777
11/27/2019,,,144.9484542,,,,,74.76491977,68.68458543,121.7255006,112.7626308,113.4843197,102.7019128
11/28/2019,,,145.4372179,,,,,75.7862156,69.5472488,120.7949215,113.3498323,114.1655846,100.9603159
